t,mn_production_max,mn_inventory,mn_backlog,mn_production,mn_allocation,dr_shipment_received,dr_inventory,dr_backlog,dr_orders_from_hc
0,800,0.0,900.0,800.0,0.0,0.0,500.0,0.0,604.0
1,800,0.0,900.0,500.0,0.0,0.0,0.0,0.0,198.0
2,800,800.0,1267.0,800.0,533.0,0.0,0.0,900.0,310.0
3,800,767.0,884.0,484.0,383.0,0.0,0.0,900.0,413.0
4,800,1184.0,811.0,727.0,757.0,533.0,533.0,1267.0,487.0
5,800,911.0,0.0,-327.0,811.0,383.0,599.0,884.0,413.0
6,800,827.0,0.0,727.0,460.0,757.0,1013.0,811.0,385.0
7,800,40.0,0.0,-327.0,0.0,811.0,1251.0,0.0,277.0
8,800,767.0,0.0,727.0,550.0,460.0,1015.0,0.0,7.0
9,800,-110.0,0.0,-327.0,0.0,0.0,350.0,0.0,0.0
10,800,617.0,0.0,727.0,0.0,550.0,900.0,0.0,0.0
11,800,290.0,0.0,-327.0,0.0,0.0,900.0,0.0,0.0
12,800,1017.0,0.0,727.0,0.0,0.0,900.0,0.0,0.0
13,800,690.0,0.0,-327.0,0.0,0.0,900.0,0.0,0.0
14,800,1417.0,0.0,727.0,82.0,0.0,900.0,0.0,82.0
15,40,1008.0,0.0,-327.0,194.0,0.0,818.0,0.0,194.0
16,40,1541.0,0.0,40.0,189.0,82.0,706.0,0.0,189.0
17,40,1025.0,0.0,40.0,203.0,194.0,711.0,0.0,203.0
18,40,862.0,0.0,40.0,190.0,189.0,697.0,0.0,190.0
19,40,712.0,0.0,40.0,185.0,203.0,710.0,0.0,185.0
20,40,567.0,0.0,40.0,214.0,190.0,715.0,0.0,214.0
21,40,393.0,0.0,40.0,197.0,185.0,686.0,0.0,197.0
22,40,236.0,0.0,40.0,200.0,214.0,703.0,0.0,200.0
23,40,76.0,109.0,40.0,76.0,197.0,700.0,0.0,185.0
24,40,40.0,274.0,40.0,29.0,200.0,715.0,0.0,194.0
25,40,51.0,550.0,40.0,34.0,76.0,597.0,109.0,201.0
26,800,57.0,868.0,800.0,35.0,29.0,425.0,274.0,188.0
27,800,62.0,1310.0,800.0,37.0,34.0,271.0,550.0,203.0
28,800,825.0,1262.0,800.0,469.0,35.0,103.0,868.0,193.0
29,800,1156.0,1064.0,664.0,668.0,37.0,37.0,1310.0,197.0
30,800,1288.0,622.0,358.0,717.0,469.0,478.0,1262.0,283.0
31,800,1235.0,0.0,42.0,1030.0,668.0,823.0,1064.0,387.0
32,800,563.0,0.0,358.0,0.0,717.0,934.0,622.0,159.0
33,800,605.0,0.0,42.0,0.0,1030.0,1805.0,0.0,0.0
34,800,963.0,0.0,358.0,0.0,0.0,1805.0,0.0,178.0
35,800,1005.0,0.0,42.0,0.0,0.0,1627.0,0.0,187.0
36,800,1363.0,0.0,358.0,0.0,0.0,1440.0,0.0,202.0
37,800,1405.0,0.0,42.0,0.0,0.0,1238.0,0.0,180.0
38,800,1763.0,0.0,358.0,28.0,0.0,1058.0,0.0,186.0
39,800,1777.0,0.0,42.0,201.0,0.0,872.0,0.0,201.0
40,800,1934.0,0.0,358.0,207.0,28.0,699.0,0.0,207.0
41,800,1769.0,0.0,42.0,201.0,201.0,693.0,0.0,201.0
42,800,1926.0,0.0,358.0,198.0,207.0,699.0,0.0,198.0
43,800,1770.0,0.0,42.0,196.0,201.0,702.0,0.0,196.0
44,800,1932.0,0.0,358.0,185.0,198.0,704.0,0.0,185.0
45,800,1789.0,0.0,42.0,192.0,196.0,715.0,0.0,192.0
46,800,1955.0,0.0,358.0,195.0,185.0,708.0,0.0,195.0
47,800,1802.0,0.0,42.0,210.0,192.0,705.0,0.0,210.0
48,800,1950.0,0.0,358.0,203.0,195.0,690.0,0.0,203.0
49,800,1789.0,0.0,42.0,182.0,210.0,697.0,0.0,182.0
50,800,1965.0,0.0,358.0,203.0,203.0,718.0,0.0,203.0
51,800,1804.0,0.0,42.0,196.0,182.0,697.0,0.0,196.0
52,800,1966.0,0.0,358.0,193.0,203.0,704.0,0.0,193.0
53,800,1815.0,0.0,42.0,206.0,196.0,707.0,0.0,206.0
54,800,1967.0,0.0,358.0,210.0,193.0,694.0,0.0,210.0
55,800,1799.0,0.0,42.0,209.0,206.0,690.0,0.0,209.0
56,800,1948.0,0.0,358.0,191.0,210.0,691.0,0.0,191.0
57,800,1799.0,0.0,42.0,196.0,209.0,709.0,0.0,196.0
58,800,1961.0,0.0,358.0,203.0,191.0,704.0,0.0,203.0
59,800,1800.0,0.0,42.0,209.0,196.0,697.0,0.0,209.0
60,800,1949.0,0.0,358.0,195.0,203.0,691.0,0.0,195.0
61,800,1796.0,0.0,42.0,198.0,209.0,705.0,0.0,198.0
62,800,1956.0,0.0,358.0,188.0,195.0,702.0,0.0,188.0
63,800,1810.0,0.0,42.0,188.0,198.0,712.0,0.0,188.0
64,800,1980.0,0.0,358.0,208.0,188.0,712.0,0.0,208.0
65,800,1814.0,0.0,42.0,213.0,188.0,692.0,0.0,213.0
66,800,1959.0,0.0,358.0,199.0,208.0,687.0,0.0,199.0
67,800,1802.0,0.0,42.0,210.0,213.0,701.0,0.0,210.0
68,800,1950.0,0.0,358.0,203.0,199.0,690.0,0.0,203.0
69,800,1789.0,0.0,42.0,193.0,210.0,697.0,0.0,193.0
70,800,1954.0,0.0,358.0,203.0,203.0,707.0,0.0,203.0
71,800,1793.0,0.0,42.0,215.0,193.0,697.0,0.0,215.0
72,800,1936.0,0.0,358.0,199.0,203.0,685.0,0.0,199.0
73,800,1779.0,0.0,42.0,215.0,215.0,701.0,0.0,215.0
74,800,1922.0,0.0,358.0,173.0,199.0,685.0,0.0,173.0
75,800,1791.0,0.0,42.0,208.0,215.0,727.0,0.0,208.0
76,800,1941.0,0.0,358.0,200.0,173.0,692.0,0.0,200.0
77,800,1783.0,0.0,42.0,197.0,208.0,700.0,0.0,197.0
78,800,1944.0,0.0,358.0,200.0,200.0,703.0,0.0,200.0
79,800,1786.0,0.0,42.0,180.0,197.0,700.0,0.0,180.0
